artist_id,artist_name,total_plays,num_listeners,play_ratio,track_freq,top_listeners,genres,tag
AR02YGA1187B9B8AC4,Bersuit Vergarabat,3627,1269,2.858156028,"{'TRACFXL128F930B28B': 3020, 'TRADFOQ128F9335409': 129, 'TRAGMXK128F9305A50': 392, 'TRAMIGP128F9335408': 86}","{'8ccdf9ff4c0ce970e843c49ebf134942ebb74196': 34, 'top_k_ratio': 0.009374138406396471}","['argentine rock', 'latin alternative', 'latin rock', 'rock en espanol', 'rock nacional', 'ska argentino']",rock
AR035N21187FB3938E,BT,1391,63,22.07936508,"{'TRAHXMC128F4267B70': 147, 'TRAKXNZ128F931DC2B': 66, 'TRALOBE12903CDA6C5': 1141, 'TRAVJOO128F14AD39C': 33, 'TRBCRKF128F14AD398': 4}","{'8e0dd300ccb1c2d8c64d1b389102e9a7fc4c034c': 234, 'top_k_ratio': 0.16822429906542055}","['edm', 'pop dance', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']",electronic
AR03BDP1187FB5B324,Britney Spears,9419,86,109.5232558,"{'TRACYCJ128F9309246': 153, 'TRAEBXS128F429933A': 49, 'TRBALRR128F429625D': 5139, 'TRBAUVN128F932FEF8': 4078}","{'68c98485da1b49b89377f0135590a203bf3a1ae3': 130, 'top_k_ratio': 0.013801889797218388}","['dance pop', 'pop', 'pop rap', 'post-teen pop']",pop
AR040QX1187FB4CFE1,Alexisonfire,1528,474,3.223628692,"{'TRAPGKY128F42972A9': 1144, 'TRAVHCL128F93015C4': 384}","{'bf0503aad11e3ba0b8fd5a224b1b3cc9be0ccdfa': 46, 'top_k_ratio': 0.030104712041884817}","['canadian post-hardcore', 'canadian rock', 'melodic metalcore', 'metalcore', 'pop punk', 'post-hardcore', 'screamo']",metal
AR048JZ1187B9AEB85,Yellowcard,2872,1136,2.528169014,{'TRAUWFN128F1462E09': 2872},"{'6be2ac4fa0478867e2827870fc925f623c2fb261': 101, 'top_k_ratio': 0.03516713091922006}","['bow pop', 'emo', 'pop punk', 'pop rock', 'socal pop punk']",pop
AR050VJ1187B9B13A7,Dead Kennedys,1142,308,3.707792208,"{'TRALBOZ128F4251490': 471, 'TRARREF128F422FD96': 671}","{'2cba718038f3c00f7b1efc375289a9418cb025b5': 27, 'top_k_ratio': 0.023642732049036778}","['early us punk', 'hardcore punk', 'punk', 'skate punk']",punk
AR0KBXO1187B996460,Slipknot,1469,822,1.787104623,"{'TRAPUDN128F423B45C': 1457, 'TRBHIPU12903CC380E': 12}","{'0b14428c20e13dbf2544f2c9fd08d452360651ea': 29, 'top_k_ratio': 0.019741320626276378}","['alternative metal', 'double drumming', 'nu metal', 'rap metal']",metal
AR0OQPL1187B9B549A,Kirk Franklin with tobyMac & Sonny (of P.O.D.),1482,609,2.433497537,"{'TRAVYNN128F425EBBC': 1356, 'TRAYCVB128F92EB7B0': 126}","{'459481197c6e2c19e936bd35cf9b26f11429ad91': 36, 'top_k_ratio': 0.024291497975708502}","['gospel', 'gospel r&b']",gospel
AR0S7TA1187FB4D024,Christina Aguilera,10510,1979,5.310763012,"{'TRABKUJ128F4292445': 10240, 'TRACKAP128F425B741': 195, 'TRBCIRO128F42B0277': 38, 'TRBEAMO128F425B75F': 37}","{'448dd7c9a217508f57963f72265705a883fdd5b0': 138, 'top_k_ratio': 0.01313035204567079}","['dance pop', 'pop', 'pop rap', 'post-teen pop']",pop
AR0V36F1187FB366B1,The Chieftains,1433,403,3.555831266,{'TRAHFSC128F92EACAB': 1433},"{'54e74dfe015db53f85fe5b8334c4960cdf8d1a87': 30, 'top_k_ratio': 0.0209351011863224}","['celtic', 'irish folk']",folk
AR0WCZW1187B99F592,Tommy Torres,1290,387,3.333333333,{'TRAEFOU128F932105B': 1290},"{'56c19c65508877fa7a44f2c28e7f504b20bf98e4': 51, 'top_k_ratio': 0.03953488372093023}","['latin', 'latin pop', 'puerto rican pop']",pop
AR10USD1187B99F3F1,Tweeterfriendly Music,2774,338,8.207100592,"{'TRAAAPK128E0786D96': 722, 'TRAAVOU128F422F292': 6, 'TRALOUF128F422F329': 6, 'TRANCOH128F422F31D': 637, 'TRBADFY128F422F325': 70, 'TRBGULP128F422F290': 1333}","{'da681f423e8574d2581534fd138eae264dea0f5c': 34, 'top_k_ratio': 0.012256669069935111}","['canadian post-hardcore', 'canadian rock', 'metalcore', 'pop punk', 'post-hardcore', 'screamo']",metal
AR11YQ81187FB3C654,Dixie Chicks,1683,597,2.819095477,"{'TRANVZT128F42AE134': 1608, 'TRAURRP128F4261B94': 75}","{'a17ed81516b0b48bfd0586863eebe4e0f44907e0': 38, 'top_k_ratio': 0.0225787284610814}","['contemporary country', 'country', 'country dawn']",country
AR190KO1187B9905EC,Sick Puppies,3216,432,7.444444444,"{'TRAEOUE128F93187B9': 1360, 'TRAQEVV128EF34E413': 1856}","{'44ca40a17dbd7cd1b240d92a52ae437c1ce2b665': 78, 'top_k_ratio': 0.024253731343283583}","['alternative metal', 'christian rock', 'modern rock', 'nu metal', 'post-grunge', 'rap rock']",rock
AR1PRQ21187FB3B481,Generation X,10839,992,10.92641129,{'TRAZCMR128F1462B51': 10839},"{'5ae062ec96cca8441e69910ae49302e5e5949bcc': 427, 'top_k_ratio': 0.039394778116062366}","['glam punk', 'pub rock', 'punk']",punk
AR1Q25M1187B9B0D73,De La Soul / MF Doom,2275,563,4.040852575,"{'TRAJNZF12903CB22A9': 2230, 'TRBEJYW128F93018AF': 45}","{'f79db33ff4e83bdc5d867a3e2a9a8c386c3bb29f': 58, 'top_k_ratio': 0.025494505494505496}","['alternative hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'jazz rap', 'rap']",hip hop
AR2AGLK1187B9AAAD0,Year Long Disaster,2708,728,3.71978022,{'TRAHQBJ12903CAB1FA': 2708},"{'289335336fffdeb4cbeb5929219c2b73307b30c1': 118, 'top_k_ratio': 0.04357459379615953}","['alternative roots rock', 'stoner rock']",rock
AR2FAMK1187FB4CF60,AFI,4732,1112,4.255395683,"{'TRAKQXJ128F147A028': 2845, 'TRAPHZT128F147A02B': 1318, 'TRAZKAG12903CD1918': 332, 'TRBAXDP12903CD1922': 237}","{'275e79c4393326ae3817170b53d9673a1b28749b': 74, 'top_k_ratio': 0.015638207945900255}","['emo', 'pop punk', 'punk', 'screamo', 'skate punk']",punk
AR3MSAN1187B98F06B,OutKast,3337,219,15.23744292,"{'TRAEGBE128F4284973': 477, 'TRAJDGB128F42882AC': 1590, 'TRAOHNR128F428CD58': 961, 'TRAOZEJ128F428CCEA': 309}","{'54f45d14e7e855f35d510b7924b1b591655b19c0': 122, 'top_k_ratio': 0.036559784237338924}","['atl hip hop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop']",hip hop
AR3Q48J1187FB55278,The Rapture,2418,718,3.367688022,"{'TRACUXJ128E0785F2B': 1011, 'TRAJPIQ128F14819A8': 1407}","{'50a645c50e28dc80db4fa079a8152db4cce82e8f': 32, 'top_k_ratio': 0.013234077750206782}","['alternative dance', 'dance-punk', 'electronica', 'indie rock', 'modern rock', 'new rave']",rock
AR4B3RX1187B9A868A,Alexandre Desplat,1020,180,5.666666667,"{'TRANZYG12903CFB180': 378, 'TRASWEK12903CB8417': 38, 'TRAVLHT12903CAF2F6': 23, 'TRBEFQY128F932EE3F': 581}","{'03699fa50d944261dd0fe6eb6c4b58cbb44bdae5': 50, 'top_k_ratio': 0.049019607843137254}","['compositional ambient', 'french soundtrack', 'soundtrack']",soundtrack
AR4OU721187FB4549D,Paramore,13138,4803,2.735373725,{'TRASDOI128F1480E28': 13138},"{'756d853bde99dbfd8a04a6c24bac0f672baac939': 80, 'top_k_ratio': 0.006089206880803775}","['candy pop', 'emo', 'pixie', 'pop emo', 'pop punk']",pop
AR4R1FL1187FB55C3B,Death From Above 1979,3193,1465,2.179522184,"{'TRADKAX128E0786B92': 3192, 'TRASFNS128F145247D': 1}","{'48748daed721d76ff98fc97bc5d3ab689a7c7934': 60, 'top_k_ratio': 0.018791105543376135}","['alternative dance', 'alternative rock', 'canadian rock', 'dance-punk', 'garage rock', 'indie rock', 'indietronica', 'modern alternative rock', 'modern rock', 'new rave', 'rock']",rock
AR5KOSW1187FB35FF4,Elena,3135,547,5.731261426,{'TRAACCG128F92E8A55': 3135},"{'926bb036b93f3a8c55b6d58d5ffb7f009dd5d0eb': 403, 'top_k_ratio': 0.12854864433811802}","['chalga', 'romanian pop']",pop
AR6892W1187B9AC71B,Placebo,3885,994,3.908450704,"{'TRAAUEO128E0780CB9': 2328, 'TRABVIU128E0780DA0': 1049, 'TRAEOBA12903CAFAB0': 34, 'TRAFAIB128F426E636': 456, 'TRAIBMN128E0780C96': 18}","{'2e706733fc6df87b31119827a0d9c6e6e114c917': 77, 'top_k_ratio': 0.01981981981981982}","['alternative rock', 'britpop', 'modern rock', 'permanent wave', 'rock']",rock
AR6G4V01187B9AD086,Queens Of The Stone Age,4422,160,27.6375,"{'TRAAGPJ128F428CD1B': 446, 'TRAFAJC128E078888B': 2752, 'TRBHJPQ128E078ED8F': 1224}","{'e128aa536c83d76667272093ac2c8fe76fa82a9c': 71, 'top_k_ratio': 0.016056083220262325}","['alternative metal', 'alternative rock', 'blues rock', 'modern rock', 'nu metal', 'palm desert scene', 'rock', 'stoner metal', 'stoner rock']",rock
AR6I54S1187FB48C6B,Patty Griffin,1523,171,8.906432749,"{'TRAKHYP128E0792F07': 321, 'TRASWKJ128E0792FE7': 64, 'TRBEBEZ128E0792F08': 1007, 'TRBGYDZ12903D075D4': 131}","{'79a02599169f7da9282f8f1deea1a13b1346a8de': 40, 'top_k_ratio': 0.026263952724885097}","['acoustic pop', 'alternative country', 'ectofolk', 'folk', 'indie folk', 'lilith', 'new americana', 'pop rock', 'singer-songwriter', ""women's music""]",country
AR6J3X81187FB59A7B,Matisyahu,2723,840,3.241666667,"{'TRACTLX128F42A51F6': 1766, 'TRAIISE128F42AE299': 125, 'TRAIZQI128F42A51F9': 832}","{'8855201aa8ac8a82d65732eb18164a11c653324f': 50, 'top_k_ratio': 0.01836210062431142}",['reggae fusion'],other
AR6XPWV1187B9ADAEB,Foo Fighters,8289,1458,5.685185185,"{'TRAEWVG128F428AC7F': 2305, 'TRALROP128F92CA9CC': 4890, 'TRAPJFL128F42AA7B4': 542, 'TRAPPUN128F429400B': 552}","{'40e76040e8ce5c4d9d449a6728e00ab4b00adfa6': 66, 'top_k_ratio': 0.007962359753890699}","['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']",rock
AR7DBMA1187FB516B1,The Knife,1893,1212,1.561881188,{'TRALZBV128F4250E60': 1893},"{'ca503102265c0fc4df6f31f49a5bf67d73eb8520': 44, 'top_k_ratio': 0.02324352879027998}","['alternative dance', 'art pop', 'dance-punk', 'dream pop', 'electroclash', 'electronica', 'electropop', 'gothenburg indie', 'neo-synthpop', 'new rave', 'swedish electropop', 'swedish synthpop']",electronic
AR7IYVY1187B9A2648,bel canto,11333,1790,6.331284916,{'TRBGGBF128F425E4D1': 11333},"{'35632e34a4c0342bdb7001e90ff73dec9f65d154': 153, 'top_k_ratio': 0.013500397070502074}","['dark wave', 'ethereal wave', 'neoclassical darkwave']",electronic
AR7N7MI1187FB46935,Sade,1488,422,3.526066351,"{'TRBARSX12903D03AE5': 985, 'TRBIGRY128F42597B3': 503}","{'8c68b01b1d53aedf5ee0e7c00f15f573dc46915b': 69, 'top_k_ratio': 0.046370967741935484}","['british soul', 'neo soul', 'sophisti-pop']",soul
AR7NNKG1187FB4AA1C,Charly García,5935,1489,3.985896575,"{'TRAVHLR128F146B476': 5869, 'TRBGHVM128F146B47A': 66}","{'7de61330d1dd2b13a002476dba3f9e89e66f11d4': 93, 'top_k_ratio': 0.015669755686604885}","['argentine rock', 'latin alternative', 'latin rock', 'post-punk argentina', 'rock en espanol', 'rock nacional']",rock
AR7Q0O91187FB4DBE7,Plies,8844,2920,3.028767123,"{'TRANUEV128F4282392': 4122, 'TRAVPOV128F429EC1B': 4722}","{'de88dbe9b0fff41abb1e6cf97a98c0f10dd5d6b4': 55, 'top_k_ratio': 0.006218905472636816}","['dirty south rap', 'gangster rap', 'hip hop', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'urban contemporary']",hip hop
AR7ZI7Z1187B98BF55,Mago de Oz,1518,513,2.959064327,"{'TRAGDLM128F4233397': 1406, 'TRAGZHM12903CAEF3A': 112}","{'f8d037821f8efef88709c428b573bafdfc0865e1': 90, 'top_k_ratio': 0.05928853754940711}","['celtic metal', 'medieval rock', 'rock en espanol', 'spanish folk metal', 'spanish metal']",celtic
AR8BUVM1187FB4D94D,Belle & Sebastian,1432,996,1.437751004,{'TRAVVBW128F42819B2': 1432},"{'815d9bd673eee3f9c240232194a89790f77b7b95': 29, 'top_k_ratio': 0.020251396648044692}","['alternative rock', 'anti-folk', 'baroque pop', 'chamber pop', 'freak folk', 'indie folk', 'indie pop', 'indie rock', 'melancholia', 'scottish indie', 'scottish rock', 'twee pop']",rock
AR8RXRI1187FB4104B,The Roots,1794,404,4.440594059,"{'TRAHVUK128F1456988': 1303, 'TRAKTFQ128F145698C': 8, 'TRAOEYW128E0792A0C': 17, 'TRAQCBN128F1456991': 56, 'TRBEHGH128E078DEDE': 410}","{'d0259eb4c63ef266912f0a7cad8d8449edfbe35c': 66, 'top_k_ratio': 0.03678929765886288}","['alternative hip hop', 'conscious hip hop', 'east coast hip hop', 'hardcore hip hop', 'hip hop', 'neo soul', 'philly rap', 'political hip hop', 'southern hip hop']",hip hop
AR8V1WA1187B9AD9E9,The White Stripes,14190,832,17.05528846,"{'TRAFZRL128F428E465': 1595, 'TRAXLPR128F428E466': 1513, 'TRBHLDQ128F423EF10': 11082}","{'e68571e6a1482986680d9f237ff7a149f0c6e52f': 120, 'top_k_ratio': 0.008456659619450317}","['alternative rock', 'blues rock', 'detroit rock', 'garage rock', 'modern blues rock', 'modern rock', 'permanent wave', 'punk blues', 'rock']",rock
AR9O98A1187FB39621,The Strokes,3317,540,6.142592593,"{'TRAQRHA128F93001EB': 1432, 'TRASHPV128F4281CB1': 1885}","{'275fea3955a0351c588e0f80557c54092afda8bd': 50, 'top_k_ratio': 0.015073861923424782}","['alternative rock', 'garage rock', 'modern rock', 'permanent wave', 'rock']",rock
AR9ST641187B99B4DE,Cal Tjader,1238,613,2.019575856,{'TRAFMNM128F4251008': 1238},"{'9e2d0a51ee9355ed9adb9ab161e1a667fdff8a5c': 28, 'top_k_ratio': 0.022617124394184167}","['bossa nova', 'cool jazz', 'jazz', 'jazz funk', 'jazz vibraphone', 'latin jazz', 'lounge', 'soul jazz']",jazz
ARA3I0J1187FB57869,Blink-182,4894,444,11.02252252,"{'TRABRMJ128E0780E42': 887, 'TRAQGNV128C7196894': 4007}","{'8158ad180b1a43de3d5c6be8880b9ffc25c83ed6': 54, 'top_k_ratio': 0.011033919084593379}","['pop punk', 'punk', 'socal pop punk']",punk
ARA6BH81187B98F3AF,Modeselektor,1068,359,2.974930362,"{'TRADNPB128F423AEE7': 1030, 'TRAFPFW128F423B0A6': 38}","{'b0aba2ff2c830d830fb5ebed938f46bccc2e4969': 35, 'top_k_ratio': 0.03277153558052434}","['alternative dance', 'electronica', 'microhouse', 'minimal techno', 'new rave']",electronic
ARABFU01187FB46712,STEVE CAMP,1940,481,4.033264033,{'TRBAYJH128F427CA64': 1940},"{'2ecc5e294bf9ae8d97da3a0749b840007ad5eb4c': 60, 'top_k_ratio': 0.030927835051546393}",['deep christian rock'],rock
ARAIJG51187B9B97A4,Café Quijano,3105,706,4.398016997,"{'TRALSOA128F4275F49': 2646, 'TRATDIZ128F4242796': 83, 'TRAVGFT128F424278B': 120, 'TRBCYYN128F4297CD5': 256}","{'8859e9c7aba562471082bda866aef1746d3595d8': 108, 'top_k_ratio': 0.034782608695652174}","['cantautor', 'latin pop', 'rumba', 'spanish pop']",pop
ARAMIDF1187FB3D8D4,Alejandro Lerner,1438,102,14.09803922,"{'TRATLOJ128F9308ABB': 217, 'TRBDRIN128F9308ABF': 1209, 'TRBEYEO128F9308A8D': 12}","{'14b199ea56f5fb13cff74871ff43878bd8a3ae71': 40, 'top_k_ratio': 0.027816411682892908}","['argentine rock', 'latin pop', 'rock nacional']",rock
ARB6OGR1187FB4D43D,M83,3864,1165,3.316738197,"{'TRAPCNK128F427D7B5': 1867, 'TRASBSO128F1465A78': 920, 'TRAWJDS128F4262D92': 1077}","{'025ff4a07dbd34f07bfab40ec5043690b533624a': 80, 'top_k_ratio': 0.020703933747412008}","['french shoegaze', 'french synthpop', 'indietronica', 'metropopolis', 'neo-synthpop']",electronic
ARBD4QW1187FB42153,Scar Symmetry,1813,498,3.640562249,"{'TRABKJU128F422A7FE': 1505, 'TRAJFYK128F42579B0': 147, 'TRAYLRS128F427FE81': 161}","{'a454d00eeb0c64a93383c26b75f68e808886ae08': 45, 'top_k_ratio': 0.024820739106453393}","['melodic death metal', 'melodic groove metal', 'melodic metalcore', 'metal', 'swedish metal']",metal
ARBEBBY1187B9B43DB,Tom Petty,3038,106,28.66037736,"{'TRABBOP128F931B50D': 231, 'TRAPKBI128F92F9D33': 827, 'TRAQDUR128F931B4E9': 1980}","{'04754a3ec25ecd67033637d874a67f6974ab4141': 46, 'top_k_ratio': 0.015141540487162607}","['album rock', 'classic rock', 'country rock', 'folk rock', 'heartland rock', 'mellow gold', 'pop rock', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']",rock
ARCJKV91187FB46210,KT Tunstall,3513,541,6.493530499,"{'TRALQGZ128F146F500': 1161, 'TRBFURI128F1455498': 2352}","{'6c8faa430c61308b863c22f322ea9fef161f1be8': 282, 'top_k_ratio': 0.0802732707087959}","['lilith', 'neo mellow', 'pop rock', 'scottish singer-songwriter']",rock
ARD2HR71187B99548F,Jimmy Hughes,1316,472,2.788135593,{'TRAIJGU128F931FA16': 1316},"{'33f90e39353993b46ab89af79df4576e50a9deb0': 122, 'top_k_ratio': 0.09270516717325228}","['rhythm and blues', 'soul', 'southern soul']",soul
ARDQ62L1187FB56FF0,Blue October,2137,89,24.01123596,"{'TRAEVHU128F92D9EA0': 279, 'TRAWLYF128F92D9EE0': 1858}","{'055b5cc1cdbf02aad17cdd68a3b330f9f0e2dded': 30, 'top_k_ratio': 0.014038371548900327}","['pop rock', 'post-grunge', 'san marcos tx indie']",rock
ARDQ9AP1187B9BA3F6,Killswitch Engage,1608,272,5.911764706,"{'TRAIGNN128F9326AB4': 972, 'TRBEKNV128F9326A8A': 636}","{'7323c1c0cc06f5f77f61db323d00a0a628092848': 174, 'top_k_ratio': 0.10820895522388059}","['alternative metal', 'boston metal', 'melodic metalcore', 'metalcore', 'nu metal']",metal
ARDSWIE1187FB39056,Gang Starr Featuring Jeru The Damaja And Lil Dap,1088,214,5.08411215,"{'TRADOXP128F145C13A': 441, 'TRAGQVO128F145C0AF': 21, 'TRANLSP128F14671CA': 426, 'TRAPISC128F14671D3': 200}","{'5c14016eda4f6edf28fc6866c29a7d8d63118255': 49, 'top_k_ratio': 0.04503676470588235}","['alternative hip hop', 'conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",hip hop
ARE8GLF1187FB52532,Red Hot Chili Peppers,9326,453,20.58719647,"{'TRACMMG128F146D705': 918, 'TRADJAO128F146D76E': 516, 'TRAHYMJ128E0787801': 1137, 'TRAWDOU128F146D770': 382, 'TRBAMXF128F1470AD6': 6373}","{'b47081f622517ee1b92ff7520c9b7952450087ea': 91, 'top_k_ratio': 0.009757666738151404}","['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']",rock
AREENKN1187B98F35D,Plasmatics,1468,481,3.051975052,"{'TRAGZQD128F428E68B': 1370, 'TRAKNBW128F4249FD8': 28, 'TRAMXJC128F428E68F': 27, 'TRAYXPS128F422842E': 43}","{'323e8afe5e3d0c36e427af92ec89aa3f5fdbe02f': 67, 'top_k_ratio': 0.04564032697547684}","['hardcore punk', 'punk']",punk
AREHK7O1187B9ADDD7,The Cardigans,2968,599,4.954924875,"{'TRADRJK128E078F041': 1172, 'TRAGFPP128E078F34C': 519, 'TRAPCIQ128F4241A74': 1002, 'TRBFMAS128E078F352': 275}","{'5ab133e735b3b1175a12c366c5644e961fa44acd': 58, 'top_k_ratio': 0.01954177897574124}","['dance pop', 'lilith', 'new wave pop', 'permanent wave', 'pop rock', 'swedish pop']",pop
AREN1A11187FB527EF,Roger Creager,2074,422,4.914691943,{'TRBDMCC128F9358267': 2074},"{'1b9742a412f88e730260092f1c96c09986d41212': 79, 'top_k_ratio': 0.038090646094503376}","['outlaw country', 'texas country']",country
ARF2EHS1187B994F4E,Kings Of Leon,12494,6091,2.051223116,{'TRATHTH128F42BC347': 12494},"{'4146d8981b55dac21cd65e1806fe2b3da6d902ce': 95, 'top_k_ratio': 0.007603649751880903}","['modern rock', 'rock']",rock
ARF6ZTO1187FB3684F,Story Of The Year,1503,249,6.036144578,"{'TRAKGDZ12903CE4867': 811, 'TRAWEST128F4242614': 692}","{'4d12190047211f450991002b503d66c8b2a2e175': 45, 'top_k_ratio': 0.029940119760479042}","['alternative metal', 'christian alternative rock', 'nu metal', 'pop punk', 'post-hardcore', 'screamo']",metal
ARFVYJI1187B9B8E13,Pearl Jam,4801,1878,2.556443024,"{'TRAAMES128F42AF068': 3664, 'TRAWBOE128F92F2F46': 1137}","{'f735156de84a174f6ad315a80e7716317b143c9b': 70, 'top_k_ratio': 0.014580295771714226}","['alternative rock', 'grunge', 'permanent wave', 'pop rock', 'rock']",rock
ARG9CID1187B9AB010,Taking Back Sunday,3906,896,4.359375,"{'TRANDBY128F146E8CC': 2670, 'TRASPCN128F92DE67E': 316, 'TRBCIDX128F422F215': 920}","{'7774417e936229d44f31aee398bf96e00284560d': 64, 'top_k_ratio': 0.01638504864311316}","['emo', 'pop punk']",punk
ARGVJPK1187B9909EA,Josh Groban,5458,518,10.53667954,"{'TRAXTSU128F4241835': 1769, 'TRBEYYM128F1493C56': 751, 'TRBGQAO128EF35A1AD': 2938}","{'c8eaa5b891c0bbbdf929ee00f8934969b36747fa': 71, 'top_k_ratio': 0.013008427995602785}","['adult standards', 'operatic pop']",pop
ARH6W4X1187B99274F,Radiohead,43500,3861,11.26651127,"{'TRACECN128F9310E97': 7410, 'TRAKYWY128F9310CF4': 370, 'TRAMXGR128E07822CC': 200, 'TRAQHNX128E07822A7': 2798, 'TRARTEH128F423DBC1': 17822, 'TRAXMAK128E07822CB': 214, 'TRAZVFJ128F9310CE2': 302, 'TRBALJE128F9310DCE': 8, 'TRBBGQN128F9310CBE': 4, 'TRBHKXX128F4252D02': 14372}","{'1604e3a8434ebb5fc94198a6a8bb32719123d82b': 200, 'top_k_ratio': 0.004597701149425287}","['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']",rock
